vulnerability,file_path,description,label
android_logging,dataset/pivaa/app/src/main/java/com/htbridge/pivaa/AboutActivity.java,The App logs information. Please ensure that sensitive information is never logged.,1
android_logging,dataset/pivaa/app/src/main/java/com/htbridge/pivaa/AboutActivity.java,The App logs information. Please ensure that sensitive information is never logged.,1
android_logging,dataset/pivaa/app/src/main/java/com/htbridge/pivaa/AboutActivity.java,The App logs information. Please ensure that sensitive information is never logged.,1
android_logging,dataset/pivaa/app/src/main/java/com/htbridge/pivaa/AboutActivity.java,The App logs information. Please ensure that sensitive information is never logged.,1
android_logging,dataset/pivaa/app/src/main/java/com/htbridge/pivaa/ContentProviderActivity.java,The App logs information. Please ensure that sensitive information is never logged.,0
android_logging,dataset/pivaa/app/src/main/java/com/htbridge/pivaa/DatabaseActivity.java,The App logs information. Please ensure that sensitive information is never logged.,1
android_logging,dataset/pivaa/app/src/main/java/com/htbridge/pivaa/MainActivity.java,The App logs information. Please ensure that sensitive information is never logged.,0
android_logging,dataset/pivaa/app/src/main/java/com/htbridge/pivaa/MainActivity.java,The App logs information. Please ensure that sensitive information is never logged.,0
android_logging,dataset/pivaa/app/src/main/java/com/htbridge/pivaa/MainActivity.java,The App logs information. Please ensure that sensitive information is never logged.,0
android_logging,dataset/pivaa/app/src/main/java/com/htbridge/pivaa/handlers/Authentication.java,The App logs information. Please ensure that sensitive information is never logged.,0
android_logging,dataset/pivaa/app/src/main/java/com/htbridge/pivaa/handlers/Authentication.java,The App logs information. Please ensure that sensitive information is never logged.,0
android_logging,dataset/pivaa/app/src/main/java/com/htbridge/pivaa/handlers/Authentication.java,The App logs information. Please ensure that sensitive information is never logged.,0
android_logging,dataset/pivaa/app/src/main/java/com/htbridge/pivaa/handlers/Authentication.java,The App logs information. Please ensure that sensitive information is never logged.,0
android_logging,dataset/pivaa/app/src/main/java/com/htbridge/pivaa/handlers/Authentication.java,The App logs information. Please ensure that sensitive information is never logged.,0
android_logging,dataset/pivaa/app/src/main/java/com/htbridge/pivaa/handlers/Authentication.java,The App logs information. Please ensure that sensitive information is never logged.,0
android_logging,dataset/pivaa/app/src/main/java/com/htbridge/pivaa/handlers/Authentication.java,The App logs information. Please ensure that sensitive information is never logged.,0
android_logging,dataset/pivaa/app/src/main/java/com/htbridge/pivaa/handlers/Authentication.java,The App logs information. Please ensure that sensitive information is never logged.,1
android_logging,dataset/pivaa/app/src/main/java/com/htbridge/pivaa/handlers/Authentication.java,The App logs information. Please ensure that sensitive information is never logged.,0
android_logging,dataset/pivaa/app/src/main/java/com/htbridge/pivaa/handlers/Authentication.java,The App logs information. Please ensure that sensitive information is never logged.,0
android_logging,dataset/pivaa/app/src/main/java/com/htbridge/pivaa/handlers/Authentication.java,The App logs information. Please ensure that sensitive information is never logged.,0
android_logging,dataset/pivaa/app/src/main/java/com/htbridge/pivaa/handlers/Authentication.java,The App logs information. Please ensure that sensitive information is never logged.,0
android_logging,dataset/pivaa/app/src/main/java/com/htbridge/pivaa/handlers/Authentication.java,The App logs information. Please ensure that sensitive information is never logged.,0
