vulnerability,file_path,description,label
android_hidden_ui,dataset/diva-android/app/src/main/java/jakhar/aseem/diva/AccessControl3NotesActivity.java,Hidden elements in view can be used to hide data from user. But this data can be leaked.,1
android_hidden_ui,dataset/diva-android/app/src/main/java/jakhar/aseem/diva/AccessControl3NotesActivity.java,Hidden elements in view can be used to hide data from user. But this data can be leaked.,1
android_logging,dataset/diva-android/app/src/main/java/jakhar/aseem/diva/InsecureDataStorage2Activity.java,The App logs information. Please ensure that sensitive information is never logged.,1
android_logging,dataset/diva-android/app/src/main/java/jakhar/aseem/diva/InsecureDataStorage2Activity.java,The App logs information. Please ensure that sensitive information is never logged.,1
android_logging,dataset/diva-android/app/src/main/java/jakhar/aseem/diva/InsecureDataStorage3Activity.java,The App logs information. Please ensure that sensitive information is never logged.,0
android_logging,dataset/diva-android/app/src/main/java/jakhar/aseem/diva/InsecureDataStorage4Activity.java,The App logs information. Please ensure that sensitive information is never logged.,0
android_logging,dataset/diva-android/app/src/main/java/jakhar/aseem/diva/LogActivity.java,The App logs information. Please ensure that sensitive information is never logged.,0
android_logging,dataset/diva-android/app/src/main/java/jakhar/aseem/diva/LogActivity.java,The App logs information. Please ensure that sensitive information is never logged.,0
android_logging,dataset/diva-android/app/src/main/java/jakhar/aseem/diva/SQLInjectionActivity.java,The App logs information. Please ensure that sensitive information is never logged.,0
android_logging,dataset/diva-android/app/src/main/java/jakhar/aseem/diva/SQLInjectionActivity.java,The App logs information. Please ensure that sensitive information is never logged.,0
sqlite_injection,dataset/diva-android/app/src/main/java/jakhar/aseem/diva/InsecureDataStorage2Activity.java,App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database.,0
sqlite_injection,dataset/diva-android/app/src/main/java/jakhar/aseem/diva/SQLInjectionActivity.java,App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database.,0
